customer_id,first_name,last_name,gender,birth_date,country,city,customer_segment,loyalty_tier,signup_date,preferred_channel
CUST0001,Mariam,Ouattara,F,1969-09-04 00:00:00,Senegal,Dakar,Standard,Gold,2023-08-08 00:00:00,Web
CUST0002,Amadou,Ouattara,F,1980-02-18 00:00:00,Côte d'Ivoire,Bouaké,Budget,Explorer,2023-08-17 00:00:00,Web
CUST0003,Didier,Ouattara,F,1979-01-18 00:00:00,France,Paris,Standard,None,2023-05-01 00:00:00,Travel Agency
CUST0004,Aminata,Diallo,F,1977-06-04 00:00:00,France,Paris,Standard,Explorer,2024-05-23 00:00:00,Corporate Desk
CUST0005,Nadia,Ndiaye,M,1988-05-08 00:00:00,Senegal,Dakar,Business,None,2024-08-11 00:00:00,Travel Agency
CUST0006,Nadia,Amani,M,1983-10-03 00:00:00,France,Paris,Standard,None,2023-12-17 00:00:00,Mobile App
CUST0007,Amadou,Konan,F,2000-10-26 00:00:00,Nigeria,Lagos,Standard,Explorer,2024-05-23 00:00:00,Corporate Desk
CUST0008,Koffi,Mensah,M,1969-01-24 00:00:00,Côte d'Ivoire,Yamoussoukro,Standard,Explorer,2024-11-28 00:00:00,Corporate Desk
CUST0009,Serge,Ouattara,M,1966-08-12 00:00:00,Senegal,Dakar,Standard,Explorer,2023-08-12 00:00:00,Travel Agency
CUST0010,Serge,Kouassi,M,1990-08-03 00:00:00,Ghana,Accra,Standard,Explorer,2023-05-21 00:00:00,Corporate Desk
CUST0011,Fatou,Ouattara,M,1989-04-05 00:00:00,France,Paris,Budget,None,2023-08-27 00:00:00,Web
CUST0012,Didier,Diallo,M,1983-01-05 00:00:00,Nigeria,Lagos,Standard,Explorer,2023-11-23 00:00:00,Mobile App
CUST0013,Bintou,Ndiaye,F,1994-11-26 00:00:00,Benin,Cotonou,Standard,Explorer,2024-05-08 00:00:00,Corporate Desk
CUST0014,Yao,Traore,F,1993-03-04 00:00:00,Côte d'Ivoire,Bouaké,Standard,None,2024-08-03 00:00:00,Mobile App
CUST0015,Koffi,Amani,F,1969-04-20 00:00:00,France,Paris,Budget,None,2023-12-22 00:00:00,Travel Agency
CUST0016,Koffi,Traore,M,1994-08-16 00:00:00,Nigeria,Lagos,Budget,None,2023-12-17 00:00:00,Travel Agency
CUST0017,Serge,Diallo,F,1978-09-12 00:00:00,Nigeria,Lagos,Business,Gold,2024-06-24 00:00:00,Travel Agency
CUST0018,Koffi,Mensah,M,1975-06-25 00:00:00,Benin,Cotonou,Standard,Silver,2023-12-04 00:00:00,Mobile App
CUST0019,Yao,Kouassi,M,1979-04-17 00:00:00,France,Paris,Standard,None,2023-01-29 00:00:00,Travel Agency
CUST0020,Fatou,Kouassi,M,1993-12-12 00:00:00,Nigeria,Lagos,Budget,None,2024-04-26 00:00:00,Mobile App
CUST0021,Yao,Kone,F,1995-11-12 00:00:00,Senegal,Dakar,Business,None,2024-02-02 00:00:00,Mobile App
CUST0022,Mariam,Ouattara,M,1970-12-13 00:00:00,Nigeria,Lagos,Standard,Gold,2023-06-12 00:00:00,Mobile App
CUST0023,Awa,Diallo,M,1974-10-27 00:00:00,Ghana,Accra,Business,Explorer,2024-07-15 00:00:00,Mobile App
CUST0024,Awa,Traore,F,1992-04-27 00:00:00,Côte d'Ivoire,Abidjan,Budget,None,2024-05-28 00:00:00,Mobile App
CUST0025,Jean,Mensah,M,1973-01-24 00:00:00,France,Paris,Business,Silver,2024-06-13 00:00:00,Corporate Desk
CUST0026,Mariam,Sow,F,1998-09-01 00:00:00,France,Paris,Business,Explorer,2023-06-03 00:00:00,Mobile App
CUST0027,Nadia,Ndiaye,F,2000-01-11 00:00:00,Ghana,Accra,Business,None,2024-07-27 00:00:00,Web
CUST0028,Yao,Mensah,F,1971-09-15 00:00:00,Ghana,Accra,Business,Gold,2024-03-29 00:00:00,Travel Agency
CUST0029,Bintou,Ndiaye,F,1982-08-17 00:00:00,France,Paris,Standard,None,2024-06-19 00:00:00,Travel Agency
CUST0030,Yao,Kone,F,1991-02-13 00:00:00,France,Paris,Standard,Silver,2024-03-14 00:00:00,Web
CUST0031,Aminata,Mensah,F,1974-12-21 00:00:00,Ghana,Accra,Budget,Gold,2024-04-23 00:00:00,Mobile App
CUST0032,Koffi,Ouattara,M,1975-11-27 00:00:00,Benin,Cotonou,Budget,Explorer,2024-06-11 00:00:00,Corporate Desk
CUST0033,Amadou,Kouassi,M,1985-02-24 00:00:00,Senegal,Dakar,Budget,Explorer,2024-03-27 00:00:00,Web
CUST0034,Jean,Sow,M,1997-02-04 00:00:00,Nigeria,Lagos,Premium,None,2023-09-29 00:00:00,Travel Agency
CUST0035,Mariam,Mensah,F,1992-11-27 00:00:00,Côte d'Ivoire,Bouaké,Standard,Explorer,2024-06-11 00:00:00,Corporate Desk
CUST0036,Jean,Traore,M,1968-12-06 00:00:00,Benin,Cotonou,Business,None,2023-01-18 00:00:00,Web
CUST0037,Koffi,Ndiaye,F,1969-05-28 00:00:00,Senegal,Dakar,Standard,None,2024-07-20 00:00:00,Corporate Desk
CUST0038,Didier,Diallo,F,1998-12-08 00:00:00,Senegal,Dakar,Premium,None,2023-07-05 00:00:00,Mobile App
CUST0039,Aminata,Mensah,F,1983-08-17 00:00:00,Senegal,Dakar,Standard,Silver,2023-09-14 00:00:00,Web
CUST0040,Awa,Sow,F,1997-08-08 00:00:00,Côte d'Ivoire,Bouaké,Budget,Silver,2024-03-18 00:00:00,Corporate Desk
CUST0041,Amadou,Sow,M,1978-04-11 00:00:00,France,Paris,Business,Silver,2024-10-13 00:00:00,Mobile App
CUST0042,Jean,Konan,F,1965-02-21 00:00:00,Nigeria,Lagos,Standard,None,2024-11-12 00:00:00,Corporate Desk
CUST0043,Aminata,Mensah,F,1983-01-15 00:00:00,France,Paris,Budget,Explorer,2023-09-27 00:00:00,Travel Agency
CUST0044,Bintou,Amani,F,1967-05-07 00:00:00,Senegal,Dakar,Budget,None,2023-03-27 00:00:00,Corporate Desk
CUST0045,Bintou,Kouassi,F,1997-01-03 00:00:00,Senegal,Dakar,Business,None,2024-08-23 00:00:00,Web
CUST0046,Awa,Mensah,M,1979-02-19 00:00:00,Nigeria,Lagos,Business,Silver,2024-09-02 00:00:00,Corporate Desk
CUST0047,Serge,Kone,F,1983-12-20 00:00:00,Senegal,Dakar,Budget,Silver,2024-06-09 00:00:00,Corporate Desk
CUST0048,Serge,Sow,F,1998-09-19 00:00:00,Benin,Cotonou,Business,Explorer,2024-11-30 00:00:00,Mobile App
CUST0049,Awa,Konan,F,1988-02-13 00:00:00,Côte d'Ivoire,Bouaké,Standard,Explorer,2024-10-03 00:00:00,Mobile App
CUST0050,Fatou,Konan,M,1969-12-17 00:00:00,Nigeria,Lagos,Business,None,2024-04-30 00:00:00,Travel Agency
CUST0051,Fatou,Kouassi,F,1979-12-21 00:00:00,Côte d'Ivoire,Bouaké,Standard,Explorer,2024-05-05 00:00:00,Travel Agency
CUST0052,Didier,Kouassi,F,1974-06-09 00:00:00,Côte d'Ivoire,Yamoussoukro,Business,None,2024-08-04 00:00:00,Mobile App
CUST0053,Nadia,Konan,M,1982-11-04 00:00:00,Côte d'Ivoire,Yamoussoukro,Standard,Explorer,2024-06-12 00:00:00,Travel Agency
CUST0054,Nadia,Kone,F,2000-04-10 00:00:00,Nigeria,Lagos,Premium,None,2024-04-14 00:00:00,Web
CUST0055,Nadia,Mensah,M,1978-04-03 00:00:00,France,Paris,Budget,Explorer,2024-01-04 00:00:00,Mobile App
CUST0056,Aminata,Sow,M,1972-12-12 00:00:00,France,Paris,Standard,Gold,2024-02-08 00:00:00,Web
CUST0057,Awa,Kone,M,1990-05-24 00:00:00,Ghana,Accra,Standard,Explorer,2023-05-04 00:00:00,Travel Agency
CUST0058,Jean,Amani,M,1972-04-23 00:00:00,Côte d'Ivoire,Abidjan,Premium,None,2024-01-17 00:00:00,Web
CUST0059,Amadou,Ndiaye,F,1988-07-25 00:00:00,Nigeria,Lagos,Business,None,2023-02-22 00:00:00,Travel Agency
CUST0060,Mariam,Kouassi,M,1992-09-11 00:00:00,Benin,Cotonou,Business,Silver,2024-03-14 00:00:00,Web
CUST0061,Amadou,Sow,F,1970-01-24 00:00:00,Benin,Cotonou,Standard,Silver,2024-10-21 00:00:00,Travel Agency
CUST0062,Awa,Sow,F,1975-08-14 00:00:00,Nigeria,Lagos,Standard,None,2024-10-30 00:00:00,Travel Agency
CUST0063,Aminata,Kouassi,M,1995-09-22 00:00:00,Nigeria,Lagos,Budget,Explorer,2023-03-18 00:00:00,Mobile App
CUST0064,Nadia,Sow,F,1993-06-25 00:00:00,France,Paris,Standard,Explorer,2023-09-07 00:00:00,Web
CUST0065,Jean,Sow,F,1985-04-12 00:00:00,Ghana,Accra,Business,None,2023-01-21 00:00:00,Corporate Desk
CUST0066,Amadou,Sow,F,1989-05-11 00:00:00,Nigeria,Lagos,Standard,Explorer,2024-01-04 00:00:00,Mobile App
CUST0067,Bintou,Sow,F,1970-05-08 00:00:00,Benin,Cotonou,Standard,Explorer,2023-11-16 00:00:00,Web
CUST0068,Awa,Ouattara,M,1996-01-03 00:00:00,Ghana,Accra,Premium,Gold,2024-06-24 00:00:00,Corporate Desk
CUST0069,Yao,Traore,F,1974-03-17 00:00:00,Nigeria,Lagos,Premium,Silver,2024-10-24 00:00:00,Corporate Desk
CUST0070,Bintou,Konan,F,1973-04-19 00:00:00,Côte d'Ivoire,Abidjan,Standard,None,2023-05-12 00:00:00,Travel Agency
CUST0071,Aminata,Ouattara,F,1971-02-10 00:00:00,France,Paris,Standard,None,2024-09-07 00:00:00,Web
CUST0072,Bintou,Mensah,M,1982-06-21 00:00:00,Côte d'Ivoire,Abidjan,Standard,None,2023-09-10 00:00:00,Web
CUST0073,Serge,Mensah,F,1966-04-16 00:00:00,Nigeria,Lagos,Budget,None,2024-03-10 00:00:00,Travel Agency
CUST0074,Nadia,Konan,M,1991-06-22 00:00:00,Ghana,Accra,Budget,Silver,2024-05-31 00:00:00,Web
CUST0075,Nadia,Kouassi,M,1977-04-15 00:00:00,Ghana,Accra,Standard,Gold,2023-04-22 00:00:00,Corporate Desk
CUST0076,Mariam,Kouassi,M,1991-11-02 00:00:00,France,Paris,Premium,None,2023-01-25 00:00:00,Mobile App
CUST0077,Awa,Konan,F,1990-08-23 00:00:00,Nigeria,Lagos,Business,Gold,2023-06-19 00:00:00,Travel Agency
CUST0078,Mariam,Sow,M,1967-05-22 00:00:00,Ghana,Accra,Business,Gold,2024-03-29 00:00:00,Mobile App
CUST0079,Awa,Traore,M,1970-06-14 00:00:00,Côte d'Ivoire,Abidjan,Standard,Silver,2024-01-25 00:00:00,Travel Agency
CUST0080,Amadou,Traore,F,1995-04-12 00:00:00,Senegal,Dakar,Budget,Explorer,2024-04-30 00:00:00,Web
CUST0081,Amadou,Kouassi,M,1967-07-02 00:00:00,Benin,Cotonou,Budget,Gold,2023-09-21 00:00:00,Mobile App
CUST0082,Koffi,Ndiaye,M,1988-05-11 00:00:00,Benin,Cotonou,Standard,Silver,2023-11-21 00:00:00,Travel Agency
CUST0083,Awa,Ndiaye,F,1966-04-04 00:00:00,Senegal,Dakar,Business,Explorer,2024-01-31 00:00:00,Travel Agency
